31_cloth,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,True,False,False,True,False,True,True
cut_object_crop,True,False,False,True,True,False,True,True
flipped_horizontal,True,False,False,True,True,False,True,True
flipped_vertical,False,False,False,True,True,False,False,True
good_crop,True,True,False,True,True,False,True,True
grayscale,True,True,True,True,True,False,True,True
high_quality,True,True,True,True,True,False,True,False
images_base,True,False,False,True,True,False,True,False
jpeg_artifacts,True,False,False,True,False,False,True,True
occluded,True,False,False,True,True,False,True,False
overexposed,False,False,False,True,True,False,True,True
rotated,False,False,False,True,False,False,True,True
salt_pepper_noise,False,False,False,False,False,False,True,True
tint_blue,False,False,False,True,True,False,True,True
tint_green,False,False,False,True,True,False,True,True
tint_red,False,False,False,True,True,False,True,True
underexposed,True,False,True,True,True,False,True,False
