01.jpg,Wired mouse,2
02.jpg,Yellow and white gloves,1
03.jpg,Gray gloves,1
04.jpg,Black gloves,1
05.jpg,Sponge,1
06.jpg,Gray sponge,1
07.jpg,Black PCIe,2
08.jpg,electronic with pics,2
09.jpg,Stapler,2
10.jpg,PC fan,2
11.jpg,Yellow brick with holes,2
12.jpg,Small PCB,2
13.jpg,Tape,1
14.jpg,Steel wool,1
15.jpg,Black mug,1
16.jpg,White/blue mug,1
17.jpg,3D printed handle,1
18.jpg,3D printed cylinder,1
19.jpg,Empty biscuit box,3
20.jpg,Drill,2
21.jpg,Empty paper plate,3
22.jpg,Drill battery,2
23.jpg,3D printed handle,1
24.jpg,3D printed square,1
25.jpg,Allen keys (green),2
26.jpg,Headphones,2
27.jpg,Power cords (large),2
28.jpg,Power cords (small),2
29.jpg,Plastic bag,3
30.jpg,Broken tripod,3
31.jpg,Tippex,1
32.jpg,Xbox 360 controller,2
33.jpg,Screwdriver,2
34.jpg,Allen keys (orange),2
35.jpg,Soap,1
36.jpg,Cloth,3
37.jpg,Cleaning foam (front),1
38.jpg,Cleaning foam (back),1
