04_mug,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,True,False,True,True,True
cut_object_crop,False,False,False,True,True,True,True,True
flipped_horizontal,False,False,False,True,False,True,True,True
flipped_vertical,False,False,False,True,False,False,True,True
good_crop,True,True,True,True,True,True,True,True
grayscale,False,False,False,True,False,True,False,False
high_quality,False,False,False,True,True,True,True,True
images_base,False,False,False,True,True,True,True,True
jpeg_artifacts,False,False,False,True,True,True,True,True
occluded,False,False,False,True,False,True,True,True
overexposed,False,False,False,True,False,True,True,True
rotated,False,False,False,True,False,True,False,False
salt_pepper_noise,False,False,False,True,False,True,True,True
tint_blue,False,False,False,True,True,True,True,True
tint_green,False,False,False,True,False,True,True,True
tint_red,False,False,False,True,True,True,True,True
underexposed,False,True,False,True,True,True,True,True
