45_cleaning_foam,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,True,True,False,False,True,False,False,False
flipped_horizontal,False,False,False,True,False,False,False,False
flipped_vertical,False,False,False,False,False,False,False,False
good_crop,False,True,False,True,False,False,False,False
grayscale,False,True,False,True,False,False,False,False
high_quality,False,True,False,True,False,False,False,False
images_base,True,True,False,True,False,False,False,False
jpeg_artifacts,False,True,False,True,False,False,False,False
occluded,False,True,True,True,False,False,False,False
overexposed,False,False,False,True,False,False,False,False
rotated,False,True,False,True,False,False,False,False
salt_pepper_noise,False,True,False,True,False,False,False,False
tint_blue,True,True,False,True,False,False,False,False
tint_green,False,True,False,True,False,False,False,False
tint_red,True,True,True,True,False,False,False,False
underexposed,True,True,True,True,False,False,False,False
