56_cloth,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,True,False,True,True,False,True,False
cut_object_crop,True,True,True,False,True,True,True,True
flipped_horizontal,True,True,False,False,True,False,False,False
flipped_vertical,True,True,False,True,True,True,True,False
good_crop,True,False,False,True,True,False,True,True
grayscale,True,False,False,True,True,True,True,False
high_quality,True,True,True,True,True,False,True,True
images_base,True,True,True,True,True,True,False,False
jpeg_artifacts,True,False,False,True,True,False,True,False
occluded,True,True,False,True,True,False,False,False
overexposed,False,False,False,False,True,False,True,False
rotated,True,True,False,True,True,False,True,True
salt_pepper_noise,True,True,False,True,True,False,False,False
tint_blue,True,True,False,True,True,False,True,False
tint_green,True,False,False,True,True,False,False,False
tint_red,True,False,True,True,True,False,True,False
underexposed,True,True,False,True,True,False,True,False
