08_sponge,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,True,True,True,True,False,False,False,False
flipped_horizontal,False,True,False,True,False,False,False,False
flipped_vertical,False,True,False,False,False,False,False,False
good_crop,False,False,False,True,False,False,False,False
grayscale,True,True,True,True,False,False,False,False
high_quality,False,False,False,True,False,False,False,False
images_base,False,False,False,True,False,False,False,False
jpeg_artifacts,True,True,False,False,False,False,False,False
occluded,False,False,False,True,False,False,False,False
overexposed,True,True,True,True,False,False,False,False
rotated,True,True,False,True,False,False,False,False
salt_pepper_noise,False,False,False,False,False,False,False,False
tint_blue,True,True,True,True,False,False,False,False
tint_green,False,True,False,True,False,False,False,False
tint_red,False,True,False,True,False,False,False,False
underexposed,False,False,False,False,False,False,False,False
