59_pcb,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,True,True,True,True,True,False,True,True
cut_object_crop,False,False,False,True,True,True,True,True
flipped_horizontal,False,True,True,True,False,False,True,True
flipped_vertical,True,True,True,True,True,False,True,True
good_crop,True,True,False,False,False,False,True,True
grayscale,True,True,False,True,True,False,True,True
high_quality,True,True,False,True,True,True,True,True
images_base,True,True,True,True,False,True,True,True
jpeg_artifacts,True,True,True,True,False,False,True,True
occluded,True,True,True,False,True,False,True,True
overexposed,True,True,True,False,True,True,True,True
rotated,True,True,False,True,True,False,True,True
salt_pepper_noise,True,True,False,True,False,True,True,True
tint_blue,True,True,False,True,True,False,True,True
tint_green,True,True,True,True,True,False,True,True
tint_red,True,True,True,True,True,False,True,True
underexposed,True,True,False,False,True,False,True,True
