17_fan,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,False,False,True,False,True,True,True,True
flipped_horizontal,False,False,False,False,False,False,False,False
flipped_vertical,True,False,False,True,False,False,False,True
good_crop,False,False,True,False,True,True,True,True
grayscale,True,True,True,False,False,False,False,False
high_quality,True,True,True,False,False,False,False,False
images_base,True,True,False,False,False,False,False,False
jpeg_artifacts,True,True,False,False,False,False,False,False
occluded,True,True,True,False,False,False,False,False
overexposed,True,False,True,False,False,False,False,False
rotated,False,False,False,False,False,False,False,False
salt_pepper_noise,False,False,False,False,False,False,False,True
tint_blue,True,False,False,False,False,False,False,False
tint_green,True,True,False,False,False,False,False,False
tint_red,True,False,False,False,False,False,False,False
underexposed,True,True,True,False,False,False,False,False
