13_plate,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,False,False,False,False,False
cut_object_crop,False,False,False,False,False,False,False,False
flipped_horizontal,True,False,False,False,False,False,False,False
flipped_vertical,True,True,True,True,False,False,False,False
good_crop,True,False,True,True,True,False,True,False
grayscale,True,False,True,False,False,False,False,False
high_quality,True,True,True,False,False,False,False,False
images_base,True,True,False,False,False,False,False,False
jpeg_artifacts,True,False,False,False,True,False,False,False
occluded,False,False,False,False,False,False,False,False
overexposed,False,False,False,False,True,False,False,False
rotated,True,True,False,False,False,False,False,True
salt_pepper_noise,False,False,False,False,False,False,False,False
tint_blue,True,False,False,False,False,False,False,False
tint_green,True,False,False,False,False,False,False,False
tint_red,False,False,False,False,False,False,False,False
underexposed,True,True,False,False,True,False,False,False
