21_soap_bottle,gemma3:12b,gemma3:27b,gemma3:4b,llama3.2-vision,llava,llava-llama3,llava:13b,llava:34b
blurred,False,False,False,True,False,False,False,False
cut_object_crop,True,False,False,True,True,False,True,True
flipped_horizontal,True,True,True,True,False,False,False,False
flipped_vertical,False,False,True,True,False,False,False,False
good_crop,True,True,True,True,True,True,True,True
grayscale,True,True,True,True,False,False,False,False
high_quality,True,True,True,True,False,False,False,False
images_base,True,True,False,True,False,False,False,False
jpeg_artifacts,True,True,False,True,False,False,False,False
occluded,True,True,False,True,False,False,False,False
overexposed,True,True,True,True,False,False,False,False
rotated,True,True,True,True,False,False,False,False
salt_pepper_noise,True,True,False,True,False,False,False,False
tint_blue,True,True,False,True,False,False,False,False
tint_green,True,True,False,True,False,False,False,False
tint_red,True,True,False,True,False,False,False,False
underexposed,True,True,False,True,False,False,False,False
